"","Year","Award","Nominee","Winner"
"1369","2000","BEST PICTURE","Crouching Tiger, Hidden Dragon","NO"
"1370","2000","BEST PICTURE","Erin Brockovich","NO"
"1371","2000","BEST PICTURE","Gladiator","YES"
"1372","2000","BEST PICTURE","Traffic","NO"
"1381","2000","SOUND MIXING","Cast Away","NO"
"1382","2000","SOUND MIXING","Gladiator","YES"
"1383","2000","SOUND MIXING","The Patriot","NO"
"1384","2000","SOUND MIXING","The Perfect Storm","NO"
"1385","2000","SOUND MIXING","U-571","NO"
"1386","2000","SOUND EDITING","Space Cowboys","NO"
"1387","2000","SOUND EDITING","U-571","YES"
"1388","2000","VISUAL EFFECTS","Gladiator","YES"
"1389","2000","VISUAL EFFECTS","Hollow Man","NO"
"1390","2000","VISUAL EFFECTS","The Perfect Storm","NO"
"1391","2000","Writing","Chocolat","NO"
"1392","2000","Writing","Crouching Tiger, Hidden Dragon","NO"
"1393","2000","Writing","O Brother, Where Art Thou?","NO"
"1394","2000","Writing","Traffic","YES"
"1395","2000","Writing","Wonder Boys","NO"
"1396","2000","Writing","Almost Famous","YES"
"1397","2000","Writing","Billy Elliot","NO"
"1398","2000","Writing","Erin Brockovich","NO"
"1399","2000","Writing","Gladiator","NO"
"1400","2000","Writing","You Can Count on Me","NO"
"1424","1999","ACTOR IN A LEADING ROLE","The Insider ","NO"
"1425","1999","ACTOR IN A LEADING ROLE","The Straight Story ","NO"
"1426","1999","ACTOR IN A LEADING ROLE","Sweet and Lowdown ","NO"
"1427","1999","ACTOR IN A LEADING ROLE","American Beauty ","YES"
"1428","1999","ACTOR IN A LEADING ROLE","The Hurricane ","NO"
"1429","1999","ACTOR IN A SUPPORTING ROLE","The Cider House Rules ","YES"
"1430","1999","ACTOR IN A SUPPORTING ROLE","Magnolia ","NO"
"1431","1999","ACTOR IN A SUPPORTING ROLE","The Green Mile ","NO"
"1432","1999","ACTOR IN A SUPPORTING ROLE","The Talented Mr. Ripley ","NO"
"1433","1999","ACTOR IN A SUPPORTING ROLE","The Sixth Sense ","NO"
"1434","1999","ACTRESS IN A LEADING ROLE","American Beauty ","NO"
"1435","1999","ACTRESS IN A LEADING ROLE","Tumbleweeds ","NO"
"1436","1999","ACTRESS IN A LEADING ROLE","The End of the Affair ","NO"
"1437","1999","ACTRESS IN A LEADING ROLE","Music of the Heart ","NO"
"1438","1999","ACTRESS IN A LEADING ROLE","Boys Don't Cry ","YES"
"1439","1999","ACTRESS IN A SUPPORTING ROLE","The Sixth Sense ","NO"
"1440","1999","ACTRESS IN A SUPPORTING ROLE","Girl, Interrupted ","YES"
"1441","1999","ACTRESS IN A SUPPORTING ROLE","Being John Malkovich ","NO"
"1442","1999","ACTRESS IN A SUPPORTING ROLE","Sweet and Lowdown ","NO"
"1443","1999","ACTRESS IN A SUPPORTING ROLE","Boys Don't Cry ","NO"
"1444","1999","ART DIRECTION","Anna and the King","NO"
"1445","1999","ART DIRECTION","The Cider House Rules","NO"
"1446","1999","ART DIRECTION","Sleepy Hollow","YES"
"1447","1999","ART DIRECTION","The Talented Mr. Ripley","NO"
"1448","1999","ART DIRECTION","Topsy-Turvy","NO"
"1449","1999","CINEMATOGRAPHY","American Beauty","YES"
"1450","1999","CINEMATOGRAPHY","The End of the Affair","NO"
"1451","1999","CINEMATOGRAPHY","The Insider","NO"
"1452","1999","CINEMATOGRAPHY","Sleepy Hollow","NO"
"1453","1999","CINEMATOGRAPHY","Snow Falling on Cedars","NO"
"1454","1999","COSTUME DESIGN","Anna and the King","NO"
"1455","1999","COSTUME DESIGN","Sleepy Hollow","NO"
"1456","1999","COSTUME DESIGN","The Talented Mr. Ripley","NO"
"1457","1999","COSTUME DESIGN","Titus","NO"
"1458","1999","COSTUME DESIGN","Topsy-Turvy","YES"
"1459","1999","DIRECTING","American Beauty","YES"
"1460","1999","DIRECTING","Being John Malkovich","NO"
"1461","1999","DIRECTING","The Cider House Rules","NO"
"1462","1999","DIRECTING","The Insider","NO"
"1463","1999","DIRECTING","The Sixth Sense","NO"
"1472","1999","FILM EDITING","American Beauty","NO"
"1473","1999","FILM EDITING","The Cider House Rules","NO"
"1474","1999","FILM EDITING","The Insider","NO"
"1475","1999","FILM EDITING","The Matrix","YES"
"1476","1999","FILM EDITING","The Sixth Sense","NO"
"1482","1999","MAKEUP","Austin Powers: The Spy Who Shagged Me","NO"
"1483","1999","MAKEUP","Bicentennial Man","NO"
"1484","1999","MAKEUP","Life","NO"
"1485","1999","MAKEUP","Topsy-Turvy","YES"
"1486","1999","Music (Scoring)","American Beauty","NO"
"1487","1999","Music (Scoring)","Angela's Ashes","NO"
"1488","1999","Music (Scoring)","The Cider House Rules","NO"
"1489","1999","Music (Scoring)","The Red Violin","YES"
"1490","1999","Music (Scoring)","The Talented Mr. Ripley","NO"
"1491","1999","Music (Song)","South Park: Bigger, Longer & Uncut","NO"
"1492","1999","Music (Song)","Music of the Heart","NO"
"1493","1999","Music (Song)","Magnolia","NO"
"1494","1999","Music (Song)","Toy Story 2","NO"
"1495","1999","Music (Song)","Tarzan","YES"
"1496","1999","BEST PICTURE","American Beauty","YES"
"1497","1999","BEST PICTURE","The Cider House Rules","NO"
"1498","1999","BEST PICTURE","The Green Mile","NO"
"1499","1999","BEST PICTURE","The Insider","NO"
"1500","1999","BEST PICTURE","The Sixth Sense","NO"
"1511","1999","SOUND MIXING","The Green Mile","NO"
"1512","1999","SOUND MIXING","The Insider","NO"
"1513","1999","SOUND MIXING","The Matrix","YES"
"1514","1999","SOUND MIXING","The Mummy","NO"
"1515","1999","SOUND MIXING","Star Wars Episode I: The Phantom Menace","NO"
"1516","1999","SOUND EDITING","Fight Club","NO"
"1517","1999","SOUND EDITING","The Matrix","YES"
"1518","1999","SOUND EDITING","Star Wars Episode I: The Phantom Menace","NO"
"1519","1999","VISUAL EFFECTS","The Matrix","YES"
"1520","1999","VISUAL EFFECTS","Star Wars Episode I: The Phantom Menace","NO"
"1521","1999","VISUAL EFFECTS","Stuart Little","NO"
"1522","1999","Writing","The Cider House Rules","YES"
"1523","1999","Writing","Election","NO"
"1524","1999","Writing","The Green Mile","NO"
"1525","1999","Writing","The Insider","NO"
"1526","1999","Writing","The Talented Mr. Ripley","NO"
"1527","1999","Writing","American Beauty","YES"
"1528","1999","Writing","Being John Malkovich","NO"
"1529","1999","Writing","Magnolia","NO"
"1530","1999","Writing","The Sixth Sense","NO"
"1531","1999","Writing","Topsy-Turvy","NO"
"1550","1998","ACTOR IN A LEADING ROLE","Life Is Beautiful ","YES"
"1551","1998","ACTOR IN A LEADING ROLE","Saving Private Ryan ","NO"
"1552","1998","ACTOR IN A LEADING ROLE","Gods and Monsters ","NO"
"1553","1998","ACTOR IN A LEADING ROLE","Affliction ","NO"
"1554","1998","ACTOR IN A LEADING ROLE","American History X ","NO"
"1555","1998","ACTOR IN A SUPPORTING ROLE","Affliction ","YES"
"1556","1998","ACTOR IN A SUPPORTING ROLE","A Civil Action ","NO"
"1557","1998","ACTOR IN A SUPPORTING ROLE","The Truman Show ","NO"
"1558","1998","ACTOR IN A SUPPORTING ROLE","Shakespeare in Love ","NO"
"1559","1998","ACTOR IN A SUPPORTING ROLE","A Simple Plan ","NO"
"1560","1998","ACTRESS IN A LEADING ROLE","Elizabeth ","NO"
"1561","1998","ACTRESS IN A LEADING ROLE","Central Station ","NO"
"1562","1998","ACTRESS IN A LEADING ROLE","Shakespeare in Love ","YES"
"1563","1998","ACTRESS IN A LEADING ROLE","One True Thing ","NO"
"1564","1998","ACTRESS IN A LEADING ROLE","Hilary and Jackie ","NO"
"1565","1998","ACTRESS IN A SUPPORTING ROLE","Primary Colors ","NO"
"1566","1998","ACTRESS IN A SUPPORTING ROLE","Little Voice ","NO"
"1567","1998","ACTRESS IN A SUPPORTING ROLE","Shakespeare in Love ","YES"
"1568","1998","ACTRESS IN A SUPPORTING ROLE","Hilary and Jackie ","NO"
"1569","1998","ACTRESS IN A SUPPORTING ROLE","Gods and Monsters ","NO"
"1570","1998","ART DIRECTION","Elizabeth","NO"
"1571","1998","ART DIRECTION","Pleasantville","NO"
"1572","1998","ART DIRECTION","Saving Private Ryan","NO"
"1573","1998","ART DIRECTION","Shakespeare in Love","YES"
"1574","1998","ART DIRECTION","What Dreams May Come","NO"
"1575","1998","CINEMATOGRAPHY","A Civil Action","NO"
"1576","1998","CINEMATOGRAPHY","Elizabeth","NO"
"1577","1998","CINEMATOGRAPHY","Saving Private Ryan","YES"
"1578","1998","CINEMATOGRAPHY","Shakespeare in Love","NO"
"1579","1998","CINEMATOGRAPHY","The Thin Red Line","NO"
"1580","1998","COSTUME DESIGN","Beloved","NO"
"1581","1998","COSTUME DESIGN","Elizabeth","NO"
"1582","1998","COSTUME DESIGN","Pleasantville","NO"
"1583","1998","COSTUME DESIGN","Shakespeare in Love","YES"
"1584","1998","COSTUME DESIGN","Velvet Goldmine","NO"
"1585","1998","DIRECTING","Life Is Beautiful","NO"
"1586","1998","DIRECTING","Saving Private Ryan","YES"
"1587","1998","DIRECTING","Shakespeare in Love","NO"
"1588","1998","DIRECTING","The Thin Red Line","NO"
"1589","1998","DIRECTING","The Truman Show","NO"
"1598","1998","FILM EDITING","Life Is Beautiful","NO"
"1599","1998","FILM EDITING","Out of Sight","NO"
"1600","1998","FILM EDITING","Saving Private Ryan","YES"
"1601","1998","FILM EDITING","Shakespeare in Love","NO"
"1602","1998","FILM EDITING","The Thin Red Line","NO"
"1608","1998","MAKEUP","Elizabeth","YES"
"1609","1998","MAKEUP","Saving Private Ryan","NO"
"1610","1998","MAKEUP","Shakespeare in Love","NO"
"1611","1998","Music (Scoring)","Elizabeth","NO"
"1612","1998","Music (Scoring)","Life Is Beautiful","YES"
"1613","1998","Music (Scoring)","Pleasantville","NO"
"1614","1998","Music (Scoring)","Saving Private Ryan","NO"
"1615","1998","Music (Scoring)","The Thin Red Line","NO"
"1616","1998","Music (Scoring)","A Bug's Life","NO"
"1617","1998","Music (Scoring)","Mulan","NO"
"1618","1998","Music (Scoring)","Patch Adams","NO"
"1619","1998","Music (Scoring)","The Prince of Egypt","NO"
"1620","1998","Music (Scoring)","Shakespeare in Love","YES"
"1621","1998","Music (Song)","Armageddon","NO"
"1622","1998","Music (Song)","Quest for Camelot","NO"
"1623","1998","Music (Song)","The Horse Whisperer","NO"
"1624","1998","Music (Song)","Babe: Pig in the City","NO"
"1625","1998","Music (Song)","The Prince of Egypt","YES"
"1626","1998","BEST PICTURE","Elizabeth","NO"
"1627","1998","BEST PICTURE","Life Is Beautiful","NO"
"1628","1998","BEST PICTURE","Saving Private Ryan","NO"
"1629","1998","BEST PICTURE","Shakespeare in Love","YES"
"1630","1998","BEST PICTURE","The Thin Red Line","NO"
"1641","1998","SOUND MIXING","Armageddon","NO"
"1642","1998","SOUND MIXING","The Mask of Zorro","NO"
"1643","1998","SOUND MIXING","Saving Private Ryan","YES"
"1644","1998","SOUND MIXING","Shakespeare in Love","NO"
"1645","1998","SOUND MIXING","The Thin Red Line","NO"
"1646","1998","SOUND EDITING","Armageddon","NO"
"1647","1998","SOUND EDITING","The Mask of Zorro","NO"
"1648","1998","SOUND EDITING","Saving Private Ryan","YES"
"1649","1998","VISUAL EFFECTS","Armageddon","NO"
"1650","1998","VISUAL EFFECTS","Mighty Joe Young","NO"
"1651","1998","VISUAL EFFECTS","What Dreams May Come","YES"
"1652","1998","Writing","Gods and Monsters","YES"
"1653","1998","Writing","Out of Sight","NO"
"1654","1998","Writing","Primary Colors","NO"
"1655","1998","Writing","A Simple Plan","NO"
"1656","1998","Writing","The Thin Red Line","NO"
"1657","1998","Writing","Bulworth","NO"
"1658","1998","Writing","Life Is Beautiful","NO"
"1659","1998","Writing","Saving Private Ryan","NO"
"1660","1998","Writing","Shakespeare in Love","YES"
"1661","1998","Writing","The Truman Show","NO"
"1700","1997","ACTOR IN A LEADING ROLE","Good Will Hunting ","NO"
"1701","1997","ACTOR IN A LEADING ROLE","The Apostle ","NO"
"1702","1997","ACTOR IN A LEADING ROLE","Ulee's Gold ","NO"
"1703","1997","ACTOR IN A LEADING ROLE","Wag the Dog ","NO"
"1704","1997","ACTOR IN A LEADING ROLE","As Good as It Gets ","YES"
"1705","1997","ACTOR IN A SUPPORTING ROLE","Jackie Brown ","NO"
"1706","1997","ACTOR IN A SUPPORTING ROLE","Amistad ","NO"
"1707","1997","ACTOR IN A SUPPORTING ROLE","As Good as It Gets ","NO"
"1708","1997","ACTOR IN A SUPPORTING ROLE","Boogie Nights ","NO"
"1709","1997","ACTOR IN A SUPPORTING ROLE","Good Will Hunting ","YES"
"1710","1997","ACTRESS IN A LEADING ROLE","The Wings of the Dove ","NO"
"1711","1997","ACTRESS IN A LEADING ROLE","Afterglow ","NO"
"1712","1997","ACTRESS IN A LEADING ROLE","Mrs. Brown ","NO"
"1713","1997","ACTRESS IN A LEADING ROLE","As Good as It Gets ","YES"
"1714","1997","ACTRESS IN A LEADING ROLE","Titanic ","NO"
"1715","1997","ACTRESS IN A SUPPORTING ROLE","L.A. Confidential ","YES"
"1716","1997","ACTRESS IN A SUPPORTING ROLE","In & Out ","NO"
"1717","1997","ACTRESS IN A SUPPORTING ROLE","Good Will Hunting ","NO"
"1718","1997","ACTRESS IN A SUPPORTING ROLE","Boogie Nights ","NO"
"1719","1997","ACTRESS IN A SUPPORTING ROLE","Titanic ","NO"
"1720","1997","ART DIRECTION","Gattaca","NO"
"1721","1997","ART DIRECTION","Kundun","NO"
"1722","1997","ART DIRECTION","L.A. Confidential","NO"
"1723","1997","ART DIRECTION","Men in Black","NO"
"1724","1997","ART DIRECTION","Titanic","YES"
"1725","1997","CINEMATOGRAPHY","Amistad","NO"
"1726","1997","CINEMATOGRAPHY","Kundun","NO"
"1727","1997","CINEMATOGRAPHY","L.A. Confidential","NO"
"1728","1997","CINEMATOGRAPHY","Titanic","YES"
"1729","1997","CINEMATOGRAPHY","The Wings of the Dove","NO"
"1730","1997","COSTUME DESIGN","Amistad","NO"
"1731","1997","COSTUME DESIGN","Kundun","NO"
"1732","1997","COSTUME DESIGN","Oscar and Lucinda","NO"
"1733","1997","COSTUME DESIGN","Titanic","YES"
"1734","1997","COSTUME DESIGN","The Wings of the Dove","NO"
"1735","1997","DIRECTING","The Full Monty","NO"
"1736","1997","DIRECTING","Good Will Hunting","NO"
"1737","1997","DIRECTING","L.A. Confidential","NO"
"1738","1997","DIRECTING","The Sweet Hereafter","NO"
"1739","1997","DIRECTING","Titanic","YES"
"1750","1997","FILM EDITING","Air Force One","NO"
"1751","1997","FILM EDITING","As Good as It Gets","NO"
"1752","1997","FILM EDITING","Good Will Hunting","NO"
"1753","1997","FILM EDITING","L.A. Confidential","NO"
"1754","1997","FILM EDITING","Titanic","YES"
"1760","1997","MAKEUP","Men in Black","YES"
"1761","1997","MAKEUP","Mrs. Brown","NO"
"1762","1997","MAKEUP","Titanic","NO"
"1763","1997","Music (Scoring)","Amistad","NO"
"1764","1997","Music (Scoring)","Good Will Hunting","NO"
"1765","1997","Music (Scoring)","Kundun","NO"
"1766","1997","Music (Scoring)","L.A. Confidential","NO"
"1767","1997","Music (Scoring)","Titanic","YES"
"1768","1997","Music (Scoring)","Anastasia","NO"
"1769","1997","Music (Scoring)","As Good as It Gets","NO"
"1770","1997","Music (Scoring)","The Full Monty","YES"
"1771","1997","Music (Scoring)","Men in Black","NO"
"1772","1997","Music (Scoring)","My Best Friend's Wedding","NO"
"1773","1997","Music (Song)","Hercules","NO"
"1774","1997","Music (Song)","Con Air","NO"
"1775","1997","Music (Song)","Anastasia","NO"
"1776","1997","Music (Song)","Good Will Hunting","NO"
"1777","1997","Music (Song)","Titanic","YES"
"1778","1997","BEST PICTURE","As Good as It Gets","NO"
"1779","1997","BEST PICTURE","The Full Monty","NO"
"1780","1997","BEST PICTURE","Good Will Hunting","NO"
"1781","1997","BEST PICTURE","L.A. Confidential","NO"
"1782","1997","BEST PICTURE","Titanic","YES"
"1793","1997","SOUND MIXING","Air Force One","NO"
"1794","1997","SOUND MIXING","Con Air","NO"
"1795","1997","SOUND MIXING","Contact","NO"
"1796","1997","SOUND MIXING","L.A. Confidential","NO"
"1797","1997","SOUND MIXING","Titanic","YES"
"1798","1997","SOUND EDITING","Face/Off","NO"
"1799","1997","SOUND EDITING","The Fifth Element","NO"
"1800","1997","SOUND EDITING","Titanic","YES"
"1801","1997","VISUAL EFFECTS","The Lost World: Jurassic Park","NO"
"1802","1997","VISUAL EFFECTS","Starship Troopers","NO"
"1803","1997","VISUAL EFFECTS","Titanic","YES"
"1804","1997","Writing","Donnie Brasco","NO"
"1805","1997","Writing","L.A. Confidential","YES"
"1806","1997","Writing","The Sweet Hereafter","NO"
"1807","1997","Writing","Wag the Dog","NO"
"1808","1997","Writing","The Wings of the Dove","NO"
"1809","1997","Writing","As Good as It Gets","NO"
"1810","1997","Writing","Boogie Nights","NO"
"1811","1997","Writing","Deconstructing Harry","NO"
"1812","1997","Writing","The Full Monty","NO"
"1813","1997","Writing","Good Will Hunting","YES"
"1837","1996","ACTOR IN A LEADING ROLE","Jerry Maguire ","NO"
"1838","1996","ACTOR IN A LEADING ROLE","The English Patient ","NO"
"1839","1996","ACTOR IN A LEADING ROLE","The People vs. Larry Flynt ","NO"
"1840","1996","ACTOR IN A LEADING ROLE","Shine ","YES"
"1841","1996","ACTOR IN A LEADING ROLE","Sling Blade ","NO"
"1842","1996","ACTOR IN A SUPPORTING ROLE","Jerry Maguire ","YES"
"1843","1996","ACTOR IN A SUPPORTING ROLE","Fargo ","NO"
"1844","1996","ACTOR IN A SUPPORTING ROLE","Shine ","NO"
"1845","1996","ACTOR IN A SUPPORTING ROLE","Primal Fear ","NO"
"1846","1996","ACTOR IN A SUPPORTING ROLE","Ghosts of Mississippi ","NO"
"1847","1996","ACTRESS IN A LEADING ROLE","Secrets & Lies ","NO"
"1848","1996","ACTRESS IN A LEADING ROLE","Marvin's Room ","NO"
"1849","1996","ACTRESS IN A LEADING ROLE","Fargo ","YES"
"1850","1996","ACTRESS IN A LEADING ROLE","The English Patient ","NO"
"1851","1996","ACTRESS IN A LEADING ROLE","Breaking the Waves ","NO"
"1852","1996","ACTRESS IN A SUPPORTING ROLE","The Crucible ","NO"
"1853","1996","ACTRESS IN A SUPPORTING ROLE","The Mirror Has Two Faces ","NO"
"1854","1996","ACTRESS IN A SUPPORTING ROLE","The English Patient ","YES"
"1855","1996","ACTRESS IN A SUPPORTING ROLE","The Portrait of a Lady ","NO"
"1856","1996","ACTRESS IN A SUPPORTING ROLE","Secrets & Lies ","NO"
"1857","1996","ART DIRECTION","The Birdcage","NO"
"1858","1996","ART DIRECTION","The English Patient","YES"
"1859","1996","ART DIRECTION","Evita","NO"
"1860","1996","ART DIRECTION","Hamlet","NO"
"1861","1996","ART DIRECTION","William Shakespeare's Romeo & Juliet","NO"
"1862","1996","CINEMATOGRAPHY","The English Patient","YES"
"1863","1996","CINEMATOGRAPHY","Evita","NO"
"1864","1996","CINEMATOGRAPHY","Fargo","NO"
"1865","1996","CINEMATOGRAPHY","Fly Away Home","NO"
"1866","1996","CINEMATOGRAPHY","Michael Collins","NO"
"1867","1996","COSTUME DESIGN","Angels and Insects","NO"
"1868","1996","COSTUME DESIGN","Emma","NO"
"1869","1996","COSTUME DESIGN","The English Patient","YES"
"1870","1996","COSTUME DESIGN","Hamlet","NO"
"1871","1996","COSTUME DESIGN","The Portrait of a Lady","NO"
"1872","1996","DIRECTING","The English Patient","YES"
"1873","1996","DIRECTING","Fargo","NO"
"1874","1996","DIRECTING","The People vs. Larry Flynt","NO"
"1875","1996","DIRECTING","Secrets & Lies","NO"
"1876","1996","DIRECTING","Shine","NO"
"1887","1996","FILM EDITING","The English Patient","YES"
"1888","1996","FILM EDITING","Evita","NO"
"1889","1996","FILM EDITING","Fargo","NO"
"1890","1996","FILM EDITING","Jerry Maguire","NO"
"1891","1996","FILM EDITING","Shine","NO"
"1897","1996","MAKEUP","Ghosts of Mississippi","NO"
"1898","1996","MAKEUP","The Nutty Professor","YES"
"1899","1996","MAKEUP","Star Trek: First Contact","NO"
"1900","1996","Music (Scoring)","The English Patient","YES"
"1901","1996","Music (Scoring)","Hamlet","NO"
"1902","1996","Music (Scoring)","Michael Collins","NO"
"1903","1996","Music (Scoring)","Shine","NO"
"1904","1996","Music (Scoring)","Sleepers","NO"
"1905","1996","Music (Scoring)","Emma","YES"
"1906","1996","Music (Scoring)","The First Wives Club","NO"
"1907","1996","Music (Scoring)","The Hunchback of Notre Dame","NO"
"1908","1996","Music (Scoring)","James and the Giant Peach","NO"
"1909","1996","Music (Scoring)","The Preacher's Wife","NO"
"1910","1996","Music (Song)","Up Close and Personal","NO"
"1911","1996","Music (Song)","One Fine Day","NO"
